City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
393,bambanglipuro,-7.95,110.2833,25.58,82,90,1.35,ID,1701213203
394,gadzhiyevo,69.2551,33.3362,-2.07,86,100,7.81,RU,1701213204
395,motygino,58.1831,94.7592,-20.32,95,100,1.03,RU,1701213006
396,sarmiento,-45.5882,-69.07,15.62,35,55,11.75,AR,1701213207
397,wakkanai,45.4094,141.6739,-3.84,92,100,8.05,JP,1701213208
398,grand-fort-philippe,50.9996,2.1078,6.14,72,18,5.86,FR,1701213209
399,tidjikja,18.5564,-11.4271,21.53,16,85,4.17,MR,1701213210
400,tannum sands,-23.9504,151.3693,28.75,78,100,3.09,AU,1701213212
401,acarau,-2.8856,-40.12,26.77,80,53,6.91,BR,1701213213
402,porto seguro,-16.4497,-39.0647,26.29,83,0,4.12,BR,1701213214
403,natal,-5.795,-35.2094,25.36,83,40,1.54,BR,1701213094
404,la ronge,55.1001,-105.2842,2.14,60,0,5.66,CA,1701213218
405,labuan,5.2767,115.2417,26.2,89,20,1.54,MY,1701213220
406,san luis de la loma,17.2706,-100.8939,27.49,79,100,1.09,MX,1701213222
407,rio grande,-32.035,-52.0986,22.06,87,27,6.54,BR,1701213225
408,taoudenni,22.6783,-3.9836,20.58,16,89,2.96,ML,1701213226
409,la passe,45.5549,-0.8967,3.13,78,9,1.28,FR,1701213228
410,santa marta,11.2408,-74.199,30.03,75,20,8.75,CO,1701213229
411,noshiro,40.2039,140.0242,2.46,58,100,11.21,JP,1701213231
412,angel r. cabada,18.5833,-95.4333,22.64,84,98,9.12,MX,1701213233
413,klaksvik,62.2266,-6.589,2.51,60,100,8.06,FO,1701213234
414,winfield,37.2398,-96.9956,7.05,75,0,2.57,US,1701213236
415,morrinhos,-17.7311,-49.0994,23.18,68,92,1.02,BR,1701213238
416,lazarevskoye,43.9061,39.3331,7.28,60,69,6.69,RU,1701213240
417,yelovo,57.0538,54.9207,-1.01,98,100,2.46,RU,1701213241
418,midvagur,62.0511,-7.1939,2.46,64,100,2.57,FO,1701213243
419,beinamar,8.6698,15.3813,26.68,31,97,1.22,TD,1701213246
420,sitia,35.2,26.0986,19.43,60,98,10.31,GR,1701213248
421,namtsy,62.7161,129.6658,-27.84,100,100,1.44,RU,1701213250
422,'ali sabieh,11.1558,42.7125,20.68,79,97,3.88,DJ,1701213252
423,miles city,46.4083,-105.8406,8.54,25,0,5.14,US,1701213160
424,kangasniemi,61.9936,26.6479,-2.99,93,99,4.33,FI,1701213255
425,tazovsky,67.4667,78.7,-16.46,96,100,3.84,RU,1701213258
426,baruun-urt,46.6806,113.2792,-24.16,92,34,3.18,MN,1701213259
427,atamyrat,37.8357,65.2106,18.02,31,100,3.14,TM,1701213261
428,shenkursk,62.1091,42.896,-5.24,96,100,1.47,RU,1701213263
429,banda aceh,5.5577,95.3222,25.56,84,98,2.83,ID,1701213264
430,nuku'alofa,-21.1333,-175.2,30.19,79,20,5.66,TO,1701213265
431,hotan,37.0997,79.9269,1.88,28,25,0.58,CN,1701213266
432,millersville,39.9979,-76.3541,-0.75,55,0,7.72,US,1701213268
433,port alfred,-33.5906,26.891,17.32,87,100,2.24,ZA,1701213270
434,san pedro de macoris,18.4616,-69.2972,25.34,84,48,3.39,DO,1701213272
435,cill airne,52.05,-9.5167,5.25,81,100,0.73,IE,1701213274
436,caleta olivia,-46.4393,-67.5281,18.96,29,46,14.04,AR,1701213275
437,turi,40.9173,17.0212,12.47,74,0,4.63,IT,1701213277
438,butembo,0.15,29.2833,14.22,98,80,1.12,CD,1701213279
439,huarmey,-10.0681,-78.1522,20.95,81,62,4.22,PE,1701213281
440,claveria,18.6074,121.0832,24.81,92,29,5.97,PH,1701213283
441,fisterra,42.9049,-9.2629,16.12,96,100,9.3,ES,1701213285
442,trevelin,-43.0858,-71.4639,10.71,59,39,4.58,AR,1701213286
443,lenger,42.183,69.8839,6.69,39,100,3.27,KZ,1701213288
444,spring creek,40.7266,-115.5859,3.83,78,5,0.84,US,1701213290
445,foundiougne,14.1333,-16.4667,28.03,36,2,4.24,SN,1701213194
446,al bawiti,28.3492,28.8659,13.3,52,43,2.06,EG,1701213292
447,urzhar,47.093,81.6294,5.5,46,84,1.29,KZ,1701213294
448,burang,30.25,81.1667,-9.72,91,50,1.15,CN,1701213296
449,cuyo,10.8525,121.0086,27.9,84,17,7.97,PH,1701213298
450,betio village,1.358,172.9211,30.02,69,43,0.7,KI,1701213302
451,mili,6.0815,171.735,28.04,78,100,8.26,MH,1701213304
452,chinde,26.8418,88.0763,12.28,63,98,2.11,NP,1701213306
453,post,33.1909,-101.3782,13.87,39,45,4.18,US,1701213308
454,necochea,-38.5473,-58.7368,20.04,73,94,3.25,AR,1701213309
455,prado,-17.3411,-39.2208,25.15,85,53,5.96,BR,1701213117
456,aasiaat,68.7098,-52.8699,-9.72,66,98,9.04,GL,1701213314
457,lerwick,60.1545,-1.1494,2.0,68,100,9.37,GB,1701213315
458,winneba,5.3511,-0.6231,26.14,86,50,2.79,GH,1701213316
459,aral,40.5156,81.2636,1.62,36,44,2.26,CN,1701213317
460,buka,40.8108,69.1986,13.89,31,100,1.31,UZ,1701213318
461,tucuma,-0.1833,-50.05,27.05,81,93,4.72,BR,1701213320
462,nguti,5.3299,9.4185,23.34,94,92,0.88,CM,1701213321
463,mccomb,31.2438,-90.4531,12.93,33,0,2.06,US,1701213323
464,progreso,21.2833,-89.6667,23.39,78,100,8.88,MX,1701213324
465,ingeniero jacobacci,-41.3427,-69.5448,15.76,26,0,11.1,AR,1701213325
466,glace bay,46.1969,-59.957,3.21,82,75,6.17,CA,1701213326
467,tromso,69.6496,18.957,-0.99,64,0,2.06,NO,1701213241
468,bandipura,34.4167,74.65,6.49,54,12,2.4,IN,1701213333
469,san ignacio,17.1561,-89.0714,28.08,78,20,0.0,BZ,1701213334
470,plav,42.5969,19.9456,1.33,98,85,1.18,ME,1701213336
471,nemuro,43.3236,145.575,0.08,63,28,13.01,JP,1701213078
472,gavrilov-yam,57.3018,39.8533,-7.09,95,72,3.37,RU,1701213338
473,luderitz,-26.6481,15.1594,18.87,73,44,10.75,NA,1701213340
474,mexia,31.6799,-96.4822,15.03,41,0,1.54,US,1701213341
475,ciudad lazaro cardenas,17.9583,-102.2,28.6,73,86,2.84,MX,1701213343
476,keflavik,64.0049,-22.5624,1.95,86,75,3.6,IS,1701213346
477,pawlowice,49.9613,18.7178,-2.81,94,100,4.38,PL,1701213348
478,shache,38.4167,77.2406,2.56,32,49,1.38,CN,1701213350
479,ascension,30.2169,-90.9001,15.0,40,0,1.54,US,1701213352
480,belel,7.05,14.4333,19.68,39,74,0.87,CM,1701213084
481,salinopolis,-0.6136,-47.3561,27.21,77,10,5.93,BR,1701213356
482,anzio,41.4853,12.6179,10.73,65,63,2.63,IT,1701213358
